Name,Tag,Decision Date,Notes
Suffolk University,EA,"December 19, 2020",
Swarthmore College,ED,"December 15, 2020 4:00 PM (PST)",
Swarthmore College,ED 2,"February 12, 2021 4:00 PM (PST)",
Swarthmore College,RD,"March 19, 2021 4:00 PM (PDT)",
Syracuse University,ED,"December 18, 2020",
Syracuse University,RD,"March 5, 2021",Waves starting
Texas Christian University (TCU),ED,"December 4, 2020",
Texas Christian University (TCU),EA,"December 11, 2020 3:00 PM (PST)",
The New School,RD,"March 17, 2021",
Trinity College,RD,"March 11, 2021",
Trinity University,RD,"March 12, 2021",
Tufts University,ED,"December 15, 2020 4:00 PM (PST)",
Tufts University,ED 2,"February 4, 2021 4:00 PM (PST)",
Tufts University,RD,"March 30, 2021 4:00 PM (PDT)",
Tulane University,ED,"November 18, 2020 1:30 PM (PST)",
Tulane University,EA,"December 17, 2020 1:30 PM (PST)",
UC Berkeley,RD,"March 25, 2021 3:00 PM (PDT)",
UC Berkeley,Transfer,"April 23, 2021",
UC Davis (UCD),RD,"March 18, 2021",
UC Davis (UCD),Transfer,"April 22, 2021",
UC Irvine (UCI),RD,"March 12, 2021",Waves starting
UC Irvine (UCI),Transfer,"April 9, 2021",Waves starting
UC Los Angeles (UCLA),RD,"March 19, 2021 5:00 PM (PDT)",
UC Merced (UCM),RD,"March 2, 2021",
UC Riverside (UCR),RD,"March 1, 2021",
UC Riverside (UCR),Transfer,"March 8, 2021",
UC San Diego (UCSD),RD,"March 19, 2021 4:30 PM (PDT)",
UC Santa Barbara (UCSB),RD,"March 16, 2021 3:00 PM (PDT)",
UC Santa Barbara (UCSB),Transfer,"April 21, 2021",
UC Santa Cruz (UCSC),RD,"February 22, 2021 → March 20, 2021",
UC Santa Cruz (UCSC),Transfer,"March 17, 2021 → April 30, 2021",
UIUC,"EA, RD","February 19, 2021 2:00 PM (PST)",
UNC Chapel Hill,EA,"January 27, 2021 1:00 PM (PST)",
UNC Chapel Hill,RD,"March 26, 2021",
Union College,EA,"December 16, 2020",
University of Chicago (UChicago),"EA, ED","December 21, 2020",
University of Chicago (UChicago),ED 2,"February 12, 2021",
University of Chicago (UChicago),RD,"March 12, 2021 2:00 PM (PST)",
University of Colorado Boulder (CU Boulder),RD,"March 19, 2021 4:00 PM (PDT)",Approx.
University of Florida (UF),Priority,"February 26, 2021 2:00 PM (PST)",
University of Florida (UF),RD,"March 26, 2021",
University of Georgia (UGA),EA,"November 20, 2020",
University of Georgia (UGA),RD,"March 19, 2021 2:00 PM (PDT)",
University of Maryland (UMD),EA,"January 29, 2021 1:00 PM (PST)",
University of Miami,ED,"December 11, 2020",
University of Miami,EA,"January 30, 2021 2:00 PM (PST)",
University of Michigan,EA,"January 29, 2021",
University of Michigan,RD,"March 26, 2021",
University of Michigan,Transfer,"April 4, 2021",
University of Notre Dame,REA/SCEA,"December 16, 2020 3:42 PM (PST)",
University of Notre Dame,RD,"March 26, 2021 3:42 PM (PDT)",
University of Pennsylvania (UPenn),ED,"December 16, 2020 4:00 PM (PST)",
University of Pennsylvania (UPenn),RD,"April 6, 2021 4:00 PM (PDT)",
University of Pennsylvania (UPenn),Transfer,"May 17, 2021",
University of Richmond,EA,"January 22, 2021",
University of Richmond,RD,"March 12, 2021",
University of Rochester,ED,"December 11, 2020",
University of Rochester,RD,"March 23, 2021",
University of San Francisco (USFCA),RD,"March 9, 2021 3:00 PM (PST)",
University of Southern California (USC),RD,"March 30, 2021 3:30 PM (PDT)",Approx.
University of Tennessee Knoxville,RD,"February 15, 2021",
University of Vermont (UVM),EA,"December 17, 2020 2:00 PM (PST)",
University of Vermont (UVM),RD,"February 19, 2021 2:00 PM (PST)",
University of Virginia (UVA),ED,"December 11, 2020 2:00 PM (PST)",
University of Virginia (UVA),EA,"February 5, 2021 2:00 PM (PST)",
University of Virginia (UVA),RD,"March 25, 2021 2:00 PM (PDT)",
University of Wisconsin (UW) Madison,EA,"January 31, 2021 5:00 PM (PST)",
University of Wisconsin (UW) Madison,RD,"April 2, 2021",
Vanderbilt University,ED,"December 15, 2020 3:00 PM (PST)",
Vanderbilt University,ED 2,"February 15, 2021 3:00 PM (PST)",
Vanderbilt University,RD,"March 29, 2021 3:00 PM (PDT)",
Vassar College,ED,"December 8, 2020",
Vassar College,ED 2,"January 28, 2021",
Vassar College,RD,"March 31, 2021 2:00 PM (PDT)",
Villanova University,ED,"December 15, 2020 2:00 PM (PST)",
Villanova University,EA,"January 29, 2021",
Villanova University,RD,"March 25, 2021 1:00 PM (PDT)",
Virginia Tech,EA,"February 19, 2021 2:00 PM (PST)",
Virginia Tech,RD,"March 5, 2021",
Wake Forest University (WFU),RD,"March 26, 2021",
Washington & Lee University,ED,"December 16, 2020 5:00 PM (PST)",
Washington & Lee University,RD,"March 31, 2021 5:00 PM (PDT)",
Washington University in St. Louis (WashU),ED,"December 14, 2020",
Washington University in St. Louis (WashU),RD,"March 24, 2021 2:00 PM (PDT)",
Wellesley College,ED,"December 12, 2020 7:00 AM (PST)",
Wellesley College,ED 2,"February 6, 2021 7:00 AM (PST)",
Wellesley College,RD,"March 20, 2021 7:00 AM (PDT)",
Wesleyan University,ED,"December 12, 2020",
Wesleyan University,RD,"March 27, 2021 11:00 AM (PDT)",Approx.
William & Mary,ED,"December 7, 2020 2:00 PM (PST)",
Williams College,ED,"December 11, 2020",
Williams College,RD,"March 25, 2021",
Worcester Polytechnic Institute (WPI),RD,"March 29, 2021 2:00 PM (PDT)",
Yale University,REA/SCEA,"December 16, 2020",
Yale University,RD,"April 6, 2021 4:00 PM (PDT)",
Yale University,Transfer,"May 13, 2021",
